      7 -1001715681860578365 lcc2-02
      8 -1001715681860578365 lcc2-03
      9 -1001715681860578365 lcc2-14
     14 -1001715681860578365 lcc2-16
     12 -1001715681860578365 lcc2-18
      7 -1001715681860578365 lcc2-20
     12 -1001715681860578365 lcc2-21
      1 -1001715681860578365 lcc2-22
      6 -1001715681860578365 lcc2-24
      6 -1001715681860578365 lcc2-27
      4 -1001715681860578365 lcc2-29
     13 -1001715681860578365 lcc2-30
      1 -1001715681860578365 lcc2-31
      8 -1001715681860578365 lcc2-32
     11 -1001715681860578365 lcc2-33
      3 -1001715681860578365 lcc2-35
      1 -1001715681860578365 lcc2-37
     70 -1001715681860578365 lcc2-38
      4 -1001715681860578365 lcc2-39
     12 1016481350109624025 lcc2-01
     22 1016481350109624025 lcc2-02
     34 1016481350109624025 lcc2-03
      2 1016481350109624025 lcc2-04
     82 1016481350109624025 lcc2-05
     20 1016481350109624025 lcc2-06
     11 1016481350109624025 lcc2-10
     29 1016481350109624025 lcc2-11
     79 1016481350109624025 lcc2-12
     13 1016481350109624025 lcc2-13
     22 1016481350109624025 lcc2-14
     19 1016481350109624025 lcc2-18
     23 1016481350109624025 lcc2-19
      9 1016481350109624025 lcc2-24
      7 1016481350109624025 lcc2-27
     14 1016481350109624025 lcc2-28
     10 1016481350109624025 lcc2-34
     10 1016481350109624025 lcc2-37
      8 1016481350109624025 lcc2-39
      3 1016481350109624025 lcc2-40
      8 -101725406610090033 lcc2-04
      3 -101725406610090033 lcc2-09
      5 -101725406610090033 lcc2-26
      4 -101725406610090033 lcc2-38
      5 -101725406610090033 lcc2-40
      1 1026915864798872899 lcc2-06
      3 1026915864798872899 lcc2-09
      1 1026915864798872899 lcc2-10
      1 1026915864798872899 lcc2-11
      3 1026915864798872899 lcc2-14
      2 1026915864798872899 lcc2-16
      3 1026915864798872899 lcc2-19
      1 1027583428837321219 lcc2-01
      6 1027583428837321219 lcc2-02
      3 1027583428837321219 lcc2-03
     10 1027583428837321219 lcc2-04
     80 1027583428837321219 lcc2-06
      3 1027583428837321219 lcc2-09
      1 1027583428837321219 lcc2-11
